产品ID,基金名称,基金公司,拟发渠道,渠道状态,持有人结构预判,底层选基偏好,底层池准备建议,情报等级,最近更新日,备注
FOF_b165f6a7f1,易方达如意安悦3个月持有期混合型基金中基金（FOF）,易方达,,,,,,,,
FOF_324fdb8b33,华夏盈睿多元配置六个月持有期混合型基金中基金（FOF）,华夏,,,,,,,,
FOF_ca80df39f2,国泰盈享配置6个月持有期混合型发起式基金中基金(FOF),国泰,,,,,,,,
FOF_5501a967c5,富国智稳6个月持有期混合型基金中基金（FOF）,富国,,,,,,,,
FOF_05731b89e5,汇添富睿悦6个月持有期混合型基金中基金（FOF）,汇添富,,,,,,,,
FOF_351b79ea4e,景顺长城盈丰多元配置三个月持有期混合型基金中基金(ETF-FOF),景顺长城,,,,,,,,
